SA3_CODE_2021,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P
10402,,,,,,,,,
10501,,,,,,,,,
10502,,,,,,,,,
10503,,,,,,,,,
10601,,,,,,,,,
10602,,,,,,,,,
10603,,,,,,,,,
10604,,,,,,,,,
10701,,,,,,,,,
10702,,,,,,,,,
10703,,,,,,,,,
10704,,,,,,,,,
10801,,,,,,,,,
10802,,,,,,,,,
10803,,,,,,,,,
10804,,,,,,,,,
10805,,,,,,,,,
10901,,,,,,,,,
10902,,,,,,,,,
10903,,,,,,,,,
11001,,,,,,,,,
11002,,,,,,,,,
11003,,,,,,,,,
11004,,,,,,,,,
11101,,,,,,,,,
11102,,,,,,,,,
11103,,,,,,,,,
11201,,,,,,,,,
11202,,,,,,,,,
11203,,,,,,,,,
11301,,,,,,,,,
11302,,,,,,,,,
11303,,,,,,,,,
11401,,,,,,,,,
11402,,,,,,,,,
11501,,,,,,,,,
11502,,,,,,,,,
11503,,,,,,,,,
11504,,,,,,,,,
11601,,,,,,,,,
11602,,,,,,,,,
11603,,,,,,,,,
11701,,,,,,,,,
11702,,,,,,,,,
11703,,,,,,,,,
11801,,,,,,,,,
11802,,,,,,,,,
11901,,,,,,,,,
11902,,,,,,,,,
11903,,,,,,,,,
11904,,,,,,,,,
12001,,,,,,,,,
12002,,,,,,,,,
12003,,,,,,,,,
12101,,,,,,,,,
12102,,,,,,,,,
12103,,,,,,,,,
12104,,,,,,,,,
12201,,,,,,,,,
12202,,,,,,,,,
12203,,,,,,,,,
12301,,,,,,,,,
12302,,,,,,,,,
12303,,,,,,,,,
12401,,,,,,,,,
12402,,,,,,,,,
12403,,,,,,,,,
12404,,,,,,,,,
12405,,,,,,,,,
12501,,,,,,,,,
12502,,,,,,,,,
12503,,,,,,,,,
12504,,,,,,,,,
12601,,,,,,,,,
12602,,,,,,,,,
12701,,,,,,,,,
12702,,,,,,,,,
12703,,,,,,,,,
12801,,,,,,,,,
12802,,,,,,,,,
19797,,,,,,,,,
19999,,,,,,,,,
20101,,,,,,,,,
20102,,,,,,,,,
20103,,,,,,,,,
20201,,,,,,,,,
20202,,,,,,,,,
20203,,,,,,,,,
20301,,,,,,,,,
20302,,,,,,,,,
20303,,,,,,,,,
20401,,,,,,,,,
20402,,,,,,,,,
20403,,,,,,,,,
20501,,,,,,,,,
20502,,,,,,,,,
20503,,,,,,,,,
20504,,,,,,,,,
20505,,,,,,,,,
20601,,,,,,,,,
20602,,,,,,,,,
20603,,,,,,,,,
20604,,,,,,,,,
20605,,,,,,,,,
20606,,,,,,,,,
20607,,,,,,,,,
20701,,,,,,,,,
20702,,,,,,,,,
20703,,,,,,,,,
20801,,,,,,,,,
20802,,,,,,,,,
20803,,,,,,,,,
20804,,,,,,,,,
20901,,,,,,,,,
20902,,,,,,,,,
20903,,,,,,,,,
20904,,,,,,,,,
21001,,,,,,,,,
21002,,,,,,,,,
21003,,,,,,,,,
21004,,,,,,,,,
21005,,,,,,,,,
21101,,,,,,,,,
21102,,,,,,,,,
21103,,,,,,,,,
21104,,,,,,,,,
21105,,,,,,,,,
21201,,,,,,,,,
21202,,,,,,,,,
21203,,,,,,,,,
21204,,,,,,,,,
21205,,,,,,,,,
21301,,,,,,,,,
21302,,,,,,,,,
21303,,,,,,,,,
21304,,,,,,,,,
21305,,,,,,,,,
21401,,,,,,,,,
21402,,,,,,,,,
21501,,,,,,,,,
21502,,,,,,,,,
21503,,,,,,,,,
21601,,,,,,,,,
21602,,,,,,,,,
21603,,,,,,,,,
21701,,,,,,,,,
21703,,,,,,,,,
21704,,,,,,,,,
29797,,,,,,,,,
29999,,,,,,,,,
30101,,,,,,,,,
30102,,,,,,,,,
30103,,,,,,,,,
30201,,,,,,,,,
30202,,,,,,,,,
30203,,,,,,,,,
30204,,,,,,,,,
30301,,,,,,,,,
30302,,,,,,,,,
30303,,,,,,,,,
30304,,,,,,,,,
30305,,,,,,,,,
30306,,,,,,,,,
30401,,,,,,,,,
30402,,,,,,,,,
30403,,,,,,,,,
30404,,,,,,,,,
30501,,,,,,,,,
30502,,,,,,,,,
30503,,,,,,,,,
30504,,,,,,,,,
30601,,,,,,,,,
30602,,,,,,,,,
30603,,,,,,,,,
30604,,,,,,,,,
30605,,,,,,,,,
30701,,,,,,,,,
30702,,,,,,,,,
30703,,,,,,,,,
30801,,,,,,,,,
30803,,,,,,,,,
30804,,,,,,,,,
30805,,,,,,,,,
30901,,,,,,,,,
30902,,,,,,,,,
30903,,,,,,,,,
30904,,,,,,,,,
30905,,,,,,,,,
30906,,,,,,,,,
30907,,,,,,,,,
30908,,,,,,,,,
30909,,,,,,,,,
30910,,,,,,,,,
31001,,,,,,,,,
31002,,,,,,,,,
31003,,,,,,,,,
31004,,,,,,,,,
31101,,,,,,,,,
31102,,,,,,,,,
31103,,,,,,,,,
31104,,,,,,,,,
31105,,,,,,,,,
31106,,,,,,,,,
31201,,,,,,,,,
31202,,,,,,,,,
31203,,,,,,,,,
31301,,,,,,,,,
31302,,,,,,,,,
31303,,,,,,,,,
31304,,,,,,,,,
31305,,,,,,,,,
31401,,,,,,,,,
31402,,,,,,,,,
31403,,,,,,,,,
31501,,,,,,,,,
31502,,,,,,,,,
31503,,,,,,,,,
31601,,,,,,,,,
31602,,,,,,,,,
31603,,,,,,,,,
31605,,,,,,,,,
31606,,,,,,,,,
31607,,,,,,,,,
31608,,,,,,,,,
31701,,,,,,,,,
31801,,,,,,,,,
31802,,,,,,,,,
31901,,,,,,,,,
31902,,,,,,,,,
31903,,,,,,,,,
31904,,,,,,,,,
31905,,,,,,,,,
39797,,,,,,,,,
39999,,,,,,,,,
40101,,,,,,,,,
40102,,,,,,,,,
40103,,,,,,,,,
40104,,,,,,,,,
40105,,,,,,,,,
40106,,,,,,,,,
40107,,,,,,,,,
40201,,,,,,,,,
40202,,,,,,,,,
40203,,,,,,,,,
40204,,,,,,,,,
40205,,,,,,,,,
40301,,,,,,,,,
40302,,,,,,,,,
40303,,,,,,,,,
40304,,,,,,,,,
40401,,,,,,,,,
40402,,,,,,,,,
40403,,,,,,,,,
40501,,,,,,,,,
40502,,,,,,,,,
40503,,,,,,,,,
40504,,,,,,,,,
40601,,,,,,,,,
40602,,,,,,,,,
40701,,,,,,,,,
40702,,,,,,,,,
40703,,,,,,,,,
49797,,,,,,,,,
49999,,,,,,,,,
50101,,,,,,,,,
50102,,,,,,,,,
50103,,,,,,,,,
50201,,,,,,,,,
50301,,,,,,,,,
50302,,,,,,,,,
50401,,,,,,,,,
50402,,,,,,,,,
50403,,,,,,,,,
50501,,,,,,,,,
50502,,,,,,,,,
50503,,,,,,,,,
50601,,,,,,,,,
50602,,,,,,,,,
50603,,,,,,,,,
50604,,,,,,,,,
50605,,,,,,,,,
50606,,,,,,,,,
50607,,,,,,,,,
50701,,,,,,,,,
50702,,,,,,,,,
50703,,,,,,,,,
50704,,,,,,,,,
50705,,,,,,,,,
50901,,,,,,,,,
50902,,,,,,,,,
50903,,,,,,,,,
51001,,,,,,,,,
51002,,,,,,,,,
51003,,,,,,,,,
51101,,,,,,,,,
51102,,,,,,,,,
51103,,,,,,,,,
51104,,,,,,,,,
59797,,,,,,,,,
59999,,,,,,,,,
60101,,,,,,,,,
60102,,,,,,,,,
60103,,,,,,,,,
60104,,,,,,,,,
60105,,,,,,,,,
60106,,,,,,,,,
60201,,,,,,,,,
60202,,,,,,,,,
60203,,,,,,,,,
60301,,,,,,,,,
60302,,,,,,,,,
60303,,,,,,,,,
60401,,,,,,,,,
60402,,,,,,,,,
60403,,,,,,,,,
69797,,,,,,,,,
69999,,,,,,,,,
70101,,,,,,,,,
70102,,,,,,,,,
70103,,,,,,,,,
70104,,,,,,,,,
70201,,,,,,,,,
70202,,,,,,,,,
70203,,,,,,,,,
70204,,,,,,,,,
70205,,,,,,,,,
79797,,,,,,,,,
79999,,,,,,,,,
80101,,,,,,,,,
80103,,,,,,,,,
80104,,,,,,,,,
80105,,,,,,,,,
80106,,,,,,,,,
80107,,,,,,,,,
80108,,,,,,,,,
80109,,,,,,,,,
80110,,,,,,,,,
80111,,,,,,,,,
89797,,,,,,,,,
89999,,,,,,,,,
90101,,,,,,,,,
90102,,,,,,,,,
90103,,,,,,,,,
90104,,,,,,,,,
99797,,,,,,,,,
99999,,,,,,,,,
